Time,Weight_21,Weight_22,Weight_23,Weight_24,Weight_25,Weight_26,Weight_27,Weight_28,Weight_29,Weight_30,Diet
0,40,41,43,42,40,42,39,39,39,42,2
2,50,55,52,52,49,48,46,46,48,48,2
4,62,64,61,58,62,57,58,58,59,59,2
6,86,77,73,74,78,74,73,73,74,72,2
8,125,90,90,66,102,93,87,92,87,85,2
10,163,95,103,68,124,114,100,114,106,98,2
12,217,108,127,70,146,136,115,145,134,115,2
14,240,111,135,71,164,147,123,156,150,122,2
16,275,131,145,72,197,169,144,184,187,143,2
18,307,148,163,72,231,205,163,207,230,151,2
20,318,164,170,76,259,236,185,212,279,157,2
21,331,167,175,74,265,251,192,233,309,150,2
